scope,song,level,bpm,kind,seg_index,start_bar,end_bar,function,label_ja,n_bars,notes_total,n_events,align_err_ms,phi_star_ms,offset_delta_ms,spearman_raw,spearman_smooth,spearman_weighted,pearson_smooth,peak_err_bars,boundary_hit_tol1,boundary_hit_tol2,d_bar_mean,I_mean,suggested_notes,floor_fit,mae_notes,bias_notes,song_kind,seg_voiced,onset_ratio_vd,plan_v02,accent_stems,plan_primary,plan_secondary,best_stem,best_recall,second_stem,second_recall,best_stem_lift,best_lift,plan_agree,plan_agree_top2,plan_agree_lift,recall_drums,recall_bass,recall_other,recall_vocals,prec_vocals,lift_drums,lift_bass,lift_other,lift_vocals,none_share,pool_precision,ending_label,tail_ratio,section_spearman
segment,Endless World,13.0,142.0,chart_changepoint,3,32,38,,,7,,25,,,,,,,,,,,4.714,0.839,,,,,vocal,,,,,,,drums,0.92,bass,0.36,vocals,5.379,,,,0.92,0.36,0.0,0.24,0.667,3.276,2.72,0.0,5.379,,,,,
segment,Endless World,13.0,142.0,chart_changepoint,4,39,71,,,33,,159,,,,,,,,,,,6.606,0.811,,,,,vocal,,,,,,,drums,0.774,bass,0.207,drums,3.099,,,,0.774,0.207,0.094,0.151,0.48,3.099,2.547,1.954,2.882,,,,,
song,FFT,14.0,180.0,,,,,,,95,849,516,0.0,2.5,7.19,0.461,0.444,0.488,0.404,34,0.75,0.75,8.937,,9.52,0.291,3.419,-1.761,instrumental,,,,,,,,,,,,,,,,0.643,0.116,0.304,0.124,0.52,2.97,2.308,2.697,2.169,0.227,0.588,tail_kill,1.175,0.717
segment,FFT,14.0,180.0,audio_segment,0,2,16,intro,イントロ,15,,80,,,,,,,,,,,6.4,0.386,,,,,instrumental,0.325,0.385,drum,,drum,,drums,0.287,vocals,0.125,bass,3.754,True,True,False,0.287,0.1,0.113,0.125,0.667,2.604,3.754,3.466,2.841,,,,,
segment,FFT,14.0,180.0,audio_segment,1,17,20,interlude,間奏,4,,23,,,,,,,,,,,9.25,0.695,,,,,instrumental,0.067,0.136,hook,hook,drum,hook,drums,0.739,other,0.348,drums,3.371,True,True,True,0.739,0.217,0.348,0.087,0.667,3.371,3.33,2.754,2.62,,,,,
segment,FFT,14.0,180.0,audio_segment,2,21,32,bridge,Cメロ,12,,77,,,,,,,,,,,9.833,0.777,,,,,instrumental,0.3,0.235,drum,hook,drum,hook,drums,0.766,other,0.26,vocals,3.022,True,True,False,0.766,0.143,0.26,0.208,0.842,2.956,2.612,1.956,3.022,,,,,
segment,FFT,14.0,180.0,audio_segment,3,33,48,chorus,サビ,16,,95,,,,,,,,,,,10.375,0.827,,,,,instrumental,0.466,0.347,vocal,hook|vocal,drum,hook,drums,0.705,other,0.4,drums,2.902,True,True,True,0.705,0.126,0.4,0.137,0.382,2.902,1.613,2.791,1.5,,,,,
segment,FFT,14.0,180.0,audio_segment,4,49,64,verse,Aメロ,16,,55,,,,,,,,,,,5.125,0.709,,,,,instrumental,0.731,0.059,hook,hook,drum,hook,drums,0.691,other,0.291,drums,3.969,True,True,True,0.691,0.018,0.291,0.018,0.25,3.969,1.625,3.38,1.625,,,,,
segment,FFT,14.0,180.0,audio_segment,5,65,72,verse,Aメロ,8,,50,,,,,,,,,,,9.625,0.698,,,,,instrumental,0.395,0.342,hook,hook,drum,hook,drums,0.56,other,0.56,other,2.98,True,True,False,0.56,0.04,0.56,0.14,0.538,2.91,1.036,2.98,1.985,,,,,
segment,FFT,14.0,180.0,audio_segment,6,73,80,bridge,Cメロ,8,,53,,,,,,,,,,,12.25,0.77,,,,,instrumental,0.298,0.2,drum,hook,drum,hook,drums,0.491,other,0.264,drums,1.844,True,True,True,0.491,0.075,0.264,0.094,0.455,1.844,1.38,1.755,1.572,,,,,
segment,FFT,14.0,180.0,audio_segment,7,81,86,final_chorus,ラスサビ,6,,33,,,,,,,,,,,11.5,0.848,,,,,instrumental,0.571,0.256,drum,hook,drum,hook,drums,0.758,other,0.455,other,3.599,True,True,False,0.758,0.151,0.455,0.091,0.3,2.987,2.962,3.599,1.258,,,,,
segment,FFT,14.0,180.0,audio_segment,8,87,96,interlude,間奏,10,,50,,,,,,,,,,,10.6,0.721,,,,,instrumental,0.123,0.2,drum,bass,drum,bass,drums,0.92,bass,0.24,drums,3.405,True,True,True,0.92,0.24,0.16,0.14,0.5,3.405,2.662,2.303,2.293,,,,,
segment,FFT,14.0,180.0,chart_changepoint,0,2,16,,,15,,80,,,,,,,,,,,6.4,0.386,,,,,instrumental,,,,,,,drums,0.287,vocals,0.125,bass,3.754,,,,0.287,0.1,0.113,0.125,0.667,2.604,3.754,3.466,2.841,,,,,
